Residue,Measurement,Estimate,Coefficient,StandardError,ModelRSquared,PValue,Significance
Oxy,Occupancies,TrendA,-0.0013127413127413208,0.0011755404476098098,0.5968537220814842,0.2680474126901671, 
Oxy,Occupancies,TrendB,-9.266409266409318e-4,0.0011755404476098091,0.5968537220814842,0.43327939026361406, 
Oxy,Occupancies,Contrast,-3.8610038610038897e-4,0.001662465244127931,0.5968537220814842,0.8170447440476332, 
Glu,Occupancies,TrendA,NA,NA,NA,NA,NA
Glu,Occupancies,TrendB,-0.0017464607464607455,6.126633197219513e-4,0.19289645124598845,0.007364385471248454,**
Glu,Occupancies,Contrast,NA,NA,NA,NA,NA
CO2,Occupancies,TrendA,0.0029317889317889323,0.0011418007781948036,0.16241768449939667,0.014806346770798177,*
CO2,Occupancies,TrendB,NA,NA,NA,NA,NA
CO2,Occupancies,Contrast,NA,NA,NA,NA,NA
Ax,Occupancies,TrendA,-0.0016975546975547089,5.585280020538098e-4,0.19988462803996712,0.0033635786267141666,**
Ax,Occupancies,TrendB,-6.782496782496812e-4,5.585280020538096e-4,0.19988462803996712,0.22881366941114994, 
Ax,Occupancies,Contrast,-0.0010193050193050277,7.898778754696454e-4,0.19988462803996712,0.20126206727948734, 
Eq,Occupancies,TrendA,-0.0019523809523809663,7.235019869291169e-4,0.3625887303693242,0.008777215715534952,**
Eq,Occupancies,TrendB,-9.84555984555989e-4,7.235019869291164e-4,0.3625887303693242,0.17806382097937082, 
Eq,Occupancies,Contrast,-9.678249678249772e-4,0.0010231863223190384,0.3625887303693242,0.34755218360840034, 
CuTyr,Distances,TrendA,-1.0180394971416381e-4,4.045809115798755e-4,0.04940478266241154,0.8020874052288743, 
CuTyr,Distances,TrendB,7.059692369652766e-5,4.045809115798754e-4,0.04940478266241154,0.8619957642776459, 
CuTyr,Distances,Contrast,-1.7240087341069147e-4,5.721638122335299e-4,0.04940478266241154,0.7640946786594855, 
CuNterm,Distances,TrendA,8.830062184826066e-4,5.576684649315843e-4,0.4026359640296028,0.11797298636232109, 
CuNterm,Distances,TrendB,-5.056432640833041e-4,5.576684649315842e-4,0.4026359640296028,0.367762319160965, 
CuNterm,Distances,Contrast,0.0013886494825659107,7.886623064140314e-4,0.4026359640296028,0.08277418884197027, 
CuHis1ND1,Distances,TrendA,-1.270373270664913e-5,1.49477131182563e-4,0.882317484120472,0.9325208169377195, 
CuHis1ND1,Distances,TrendB,-2.0496752244617139e-4,1.4947713118256293e-4,0.882317484120472,0.1748116484584446, 
CuHis1ND1,Distances,Contrast,1.9226378973952226e-4,2.1139258618300285e-4,0.882317484120472,0.3662931874018134, 
CuHis84NE2,Distances,TrendA,-4.0402278083661724e-4,2.2358355884722928e-4,0.6686456596557767,0.07518107470961928, 
CuHis84NE2,Distances,TrendB,-3.831028380609349e-4,2.2358355884722925e-4,0.6686456596557767,0.0911826558982438, 
CuHis84NE2,Distances,Contrast,-2.091994277568233e-5,3.1619490124539467e-4,0.6686456596557767,0.9474433498227615, 
CuEq,Distances,TrendA,4.893147871256537e-4,1.5174934286647803e-4,0.5871349994273262,0.00194029484810086,**
CuEq,Distances,TrendB,-3.7586567124518603e-4,1.51749342866478e-4,0.5871349994273262,0.01574539062206171,*
CuEq,Distances,Contrast,8.651804583708398e-4,2.1460597876297812e-4,0.5871349994273262,1.4251867291894984e-4,***
CuAx,Distances,TrendA,2.3803009693340862e-4,1.8428930195921482e-4,0.4989344092633526,0.20086489450780243, 
CuAx,Distances,TrendB,6.169024658713295e-4,1.842893019592148e-4,0.4989344092633526,0.001332031643554911,**
CuAx,Distances,Contrast,-3.788723689379209e-4,2.606244302309922e-4,0.4989344092633526,0.15062659651579371, 
T1,Angles,TrendA,-0.003409751040524297,0.006998797234796789,0.4889437703185219,0.6276898548729563, 
T1,Angles,TrendB,0.0037953501062501596,0.006998797234796785,0.4889437703185219,0.5893942680738837, 
T1,Angles,Contrast,-0.0072051011467744565,0.00989779396974893,0.4889437703185219,0.4691433371760778, 
T2,Angles,TrendA,0.005034448903738682,0.008389585616039157,0.7252644306387537,0.5504454329318986, 
T2,Angles,TrendB,-0.005650397170626083,0.00838958561603915,0.7252644306387537,0.5029112006196693, 
T2,Angles,Contrast,0.010684846074364766,0.011864665760892809,0.7252644306387537,0.371000600503824, 
T3,Angles,TrendA,0.0030122172493532856,0.007194018584660311,0.7875764902547442,0.6767466765088261, 
T3,Angles,TrendB,0.004236521892647047,0.007194018584660307,0.7875764902547442,0.5578829466809091, 
T3,Angles,Contrast,-0.0012243046432937612,0.010173878650390707,0.7875764902547442,0.9045702252533047, 
TT,Angles,TrendA,-0.006905954244532657,0.007977082886377638,0.7539718345512855,0.3896855744893204, 
TT,Angles,TrendB,-0.006288196334503867,0.007977082886377633,0.7539718345512855,0.43327086389943226, 
TT,Angles,Contrast,-6.177579100287906e-4,0.011281298806089565,0.7539718345512855,0.9564906624969267, 
THH,Angles,TrendA,-0.01615702302400132,0.010633952701928467,0.7242807156083118,0.1333028722034652, 
THH,Angles,TrendB,0.00934466665464602,0.01063395270192846,0.7242807156083118,0.3826273946813852, 
THH,Angles,Contrast,-0.02550168967864734,0.01503868013270125,0.7242807156083118,0.09450950313218004, 
TH1,Angles,TrendA,-0.01410211982165254,0.010559519468700112,0.5228323817072524,0.18616959450740822, 
TH1,Angles,TrendB,-0.027822694875161622,0.010559519468700105,0.5228323817072524,0.010415593519282233,*
TH1,Angles,Contrast,0.013720575053509083,0.01493341564477843,0.5228323817072524,0.36145648517060647, 
THN,Angles,TrendA,-0.007579813197537173,0.006836406760820589,0.03510252253179981,0.2714474101068402, 
THN,Angles,TrendB,-0.007622229217349757,0.006836406760820586,0.03510252253179981,0.26879825543990915, 
THN,Angles,Contrast,4.241601981258374e-5,0.009668139159051594,0.03510252253179981,0.9965123808400427, 
